Date,Inflation Rate
01/2014,1.6
02/2014,1.1
03/2014,1.5
04/2014,2.0
05/2014,2.1
06/2014,2.1
07/2014,2.0
08/2014,1.7
09/2014,1.7
10/2014,1.7
11/2014,1.3
12/2014,0.8
01/2015,-0.1
02/2015,0.0
03/2015,-0.1
04/2015,-0.2
05/2015,0.0
06/2015,0.1
07/2015,0.2
08/2015,0.2
09/2015,0.0
10/2015,0.2
11/2015,0.5
12/2015,0.7
01/2016,1.4
02/2016,1.0
03/2016,0.9
04/2016,1.1
05/2016,1.0
06/2016,1.0
07/2016,0.8
08/2016,1.1
09/2016,1.5
10/2016,1.6
11/2016,1.7
12/2016,2.1
01/2017,2.5
02/2017,2.7
03/2017,2.4
04/2017,2.2
05/2017,1.9
06/2017,1.6
07/2017,1.7
08/2017,1.9
09/2017,2.2
10/2017,2.0
11/2017,2.2
12/2017,2.1
01/2018,2.1
02/2018,2.2
03/2018,2.4
04/2018,2.5
05/2018,2.8
06/2018,2.9
07/2018,2.9
08/2018,2.7
09/2018,2.3
10/2018,2.5
11/2018,2.2
12/2018,1.9
01/2019,1.6
02/2019,1.5
03/2019,1.9
04/2019,2.0
05/2019,1.8
06/2019,1.6
07/2019,1.8
08/2019,1.7
09/2019,1.7
10/2019,1.8
11/2019,2.1
12/2019,2.3
01/2020,2.5
02/2020,2.3
03/2020,1.5
04/2020,0.3
05/2020,0.1
06/2020,0.6
07/2020,1.0
08/2020,1.3
09/2020,1.4
10/2020,1.2
11/2020,1.2
12/2020,1.4
01/2021,1.4
02/2021,1.7
03/2021,2.6
04/2021,4.2
05/2021,5.0
06/2021,5.4
07/2021,5.4
08/2021,5.3
09/2021,5.4
10/2021,6.2
11/2021,6.8
12/2021,7.0
01/2022,7.5
02/2022,7.9
03/2022,8.5
04/2022,8.3
05/2022,8.6
06/2022,9.1
07/2022,8.5
08/2022,8.3
09/2022,8.2
10/2022,7.7
11/2022,7.1
12/2022,6.5
01/2023,6.4
02/2023,6.0
03/2023,5.0
04/2023,4.9
05/2023,4.0
06/2023,3.0
07/2023,3.2
08/2023,3.7
09/2023,3.7
10/2023,3.2
11/2023,3.1
12/2023,3.4
01/2024,3.1
02/2024,3.2
03/2024,3.5
04/2024,3.4
05/2024,3.3
06/2024,3.0
07/2024,2.9
08/2024,2.5
09/2024,2.4
10/2024,2.6
11/2024,2.7
12/2024,
